text,sentiment,problem_type
"Cena zajebista jak na taką jakość, polecam w chuj.",pozytywna,cena
"Kurwa, co to za gówno przyszło?",negatywna,jakość
"Szybka wysyłka, wszystko zgodnie z opisem.",pozytywna,dostawa
"Dostawa ekspresowa, plecak dotarł szybciej niż myślałem.!!!",pozytywna,dostawa
"Paczka wyglądała jakby grał nią w piłkę...",negatywna,opakowanie
"W tej cenie nie ma nic lepszego (serio).",pozytywna,cena
"Średniawka, spodziewałem się czegoś więcej.",neutralna,jakość
"Rozpadło się po tygodniu używania, żart jakiś.",negatywna,jakość
"Dostawa trwała wieki, nigdy więcej tego sklepu.",negatywna,dostawa
"Zapakowane pancernie, szacun dla pakującego.",pozytywna,opakowanie
"Bardzo drogo, ale jakość topowa.",neutralna,cena
"Nie polecam, szkoda nerwów i kasy.",negatywna,jakość
"Rewelacja, polecam każdemu znajomemu!",pozytywna,jakość
"Kurier nie zadzwonił i zostawił w punkcie, dramat.",negatywna,dostawa
"Jest ok, robi co ma robić, bez fajerwerków.",neutralna,jakość
"Opakowanie ekologiczne, duży plus za to.",pozytywna,opakowanie
"Tragedia, omijać szerokim łukiem !!!",negatywna,jakość
"Cena adekwatna do wykonania, może być.",neutralna,cena
"Zajebista sprawa, w chuj warto to mieć.",pozytywna,jakość
"Przyszło uszkodzone, brak słów na to badziewie.",negatywna,opakowanie
"Dostawa w weekend, super opcja dla zapracowanych.",pozytywna,dostawa
"Taniej nie znajdziecie nigdzie indziej.",pozytywna,cena
"Jakość plastiku to jakaś pomyłka, chińszczyzna.",negatywna,jakość
"Wszystko gra i buczy, jestem zadowolony.",pozytywna,jakość
"Za te pieniądze? Kradzież w biały dzień.",negatywna,cena
"Pudełko pogniecione ale towar w środku cały.",neutralna,opakowanie
"Mega szybko, rano zamówione wieczorem jest.",pozytywna,dostawa
"Kolor inny niż na zdjęciu, słabo to wygląda.",negatywna,jakość
"Solidne wykonanie, czuć wagę w ręce.",pozytywna,jakość
"Kosztuje grosze a działa wyśmienicie.",pozytywna,cena
"Kontakt ze sprzedawcą zerowy, nie odpisują.",negatywna,dostawa
"Może być, szału nie ma dupy nie urywa.",neutralna,jakość
"Przepłacone, u konkurencji to samo taniej.",negatywna,cena
"Zabezpieczone folią bąbelkową, wszystko ok.",pozytywna,opakowanie
"Mistrzostwo świata w tej kategorii cenowej.",pozytywna,jakość
"Dno i wodorosty, nie kupujcie tego syfu.",negatywna,jakość
"Czekałem miesiąc na zwrot kasy, złodzieje.",negatywna,dostawa
"Elegancko zapakowane, nadaje się na prezent od razu.",pozytywna,opakowanie
"Trochę drogo ale warto zainwestować.",pozytywna,cena
"Niekompletny zestaw, brak śrubek w środku.",negatywna,jakość
"Działa tak sobie, czasem przerywa.",neutralna,jakość
"Wysyłka natychmiastowa, pełna profeska.",pozytywna,dostawa
"Jakość dźwięku powala na kolana.",pozytywna,jakość
"Opakowanie było otwarte, ktoś grzebał?",negatywna,opakowanie
"Cena z kosmosu, pogięło ich chyba.",negatywna,cena
"Produkt zgodny z opisem w 100%.",pozytywna,jakość
"Miał być hit a wyszedł kit.",negatywna,jakość
"Paczkomat był przepełniony, problemy z odbiorem.",neutralna,dostawa
"Kupione na promocji, więc się opłacało.",pozytywna,cena
"Totalny szajs, rozleciało się w rękach.",negatywna,jakość
"Pięknie zapakowane, aż żal otwierać.",pozytywna,opakowanie
"Zamówienie anulowane bez podania przyczyny.",negatywna,dostawa
"Wygląda tanio, ale działa dobrze.",neutralna,jakość
"Polecam allegrowicza, wszystko super.",pozytywna,dostawa
"Instrukcja nieczytelna, nic nie wiadomo.",negatywna,jakość
"Najlepiej wydane pieniądze w tym roku.",pozytywna,cena
"Kartony były mokre, słabe zabezpieczenie.",negatywna,opakowanie
"Spoko sprzęt, daje radę.",pozytywna,jakość
"Drogie gówno, nie dajcie się nabrać.",negatywna,cena
"Szybko, sprawnie i bez zbędnego gadania.",pozytywna,dostawa
"Kolor wyblakły, wygląda jak szmata.",negatywna,jakość
"Dostarczone pod niewłaściwy adres, brawo...",negatywna,dostawa
"Zajebista opcja na prezent dla żony.",pozytywna,jakość
"Cena uczciwa, nie mam uwag.",neutralna,cena
"Kartofle bym lepiej zapakował.",negatywna,opakowanie
"Szajs, nie łączy z telefonem.",negatywna,jakość
"Bardzo miła obsługa i szybki kontakt.",pozytywna,dostawa
"Drogie, ale robi robotę w chuj.",pozytywna,cena
"Przyszło porysowane, jestem wściekły.",negatywna,jakość
"Standardowa jakość, nic specjalnego.",neutralna,jakość
"Paczka dotarła w jeden dzień!",pozytywna,dostawa
"Opakowanie wygląda jak psu z gardła wyjęte.",negatywna,opakowanie
"Nie warto, lepiej dopłacić do oryginału.",negatywna,cena
"Głośne jak cholera, nie da się używać.",negatywna,jakość
"Estetycznie zapakowane, duży plus.",pozytywna,opakowanie
"Typowy chińczyk, szału nie ma.",neutralna,jakość
"Za te grosze to rewelacja.",pozytywna,cena
"Kurier spóźnił się 3 dni, kpina.",negatywna,dostawa
"Solidna konstrukcja, metal a nie plastik.",pozytywna,jakość
"Jebie plastikiem po otwarciu, masakra.",negatywna,jakość
"Szybka akcja, rano kupione, jutro w domu.",pozytywna,dostawa
"Cena zaporowa, przesadzili.",negatywna,cena
"Wszystko ok, polecam.",pozytywna,jakość
"Brak instrukcji po polsku, minus.",negatywna,jakość
"Zabezpieczone styropianem, nic nie latało.",pozytywna,opakowanie
"Klawisze chodzą ciężko, trochę lipa.",neutralna,jakość
"Złodziejstwo, produkt używany a nie nowy!",negatywna,jakość
"Tanie mięso psy jedzą - sprawdziło się.",negatywna,cena
"Dostawa w porządku, bez problemów.",neutralna,dostawa
"Rewelacyjny stosunek ceny do jakości.",pozytywna,cena
"Odkleiło się logo po jednym dniu.",negatywna,jakość
"Świetnie leży w dłoni, ergonomia super.",pozytywna,jakość
"Paczka zgubiona przez przewoźnika...",negatywna,dostawa
"Jest w pytę, naprawdę polecam.",pozytywna,jakość
"Otwieranie tego to była męczarnia.",negatywna,opakowanie
"Drogo jak diabli.",negatywna,cena
"Działa, świeci, gra.",neutralna,jakość
"Sprzedawca to jakiś Janusz biznesu.",negatywna,dostawa
"Piękne pudełko, idealne na upominek.",pozytywna,opakowanie
"Rozmiarówka zawyżona, uważajcie.",neutralna,jakość
"Mega zadowolony, na pewno wrócę.",pozytywna,jakość
"Jakość obrazu to żyleta.",pozytywna,jakość
"Przepłaciłem, w markecie to samo taniej.",negatywna,cena
"Wysyłka trwała dłużej niż budowa piramid.",negatywna,dostawa
"Zwyczajny produkt, spełnia zadanie.",neutralna,jakość
"Kabel za krótki, oszczędzają na wszystkim.",negatywna,jakość
"Folia bąbelkowa uratowała sprawę.",pozytywna,opakowanie
"Super okazja cenowa!",pozytywna,cena
"Nie pasuje do mojego modelu, mimo opisu.",negatywna,jakość
"Bateria trzyma krócej niż moja cierpliwość.",negatywna,jakość
"Dostawa pod drzwi, super wygoda.",pozytywna,dostawa
"Może być, dupy nie urywa.",neutralna,jakość
"Totalny badziew, nie polecam nikomu.",negatywna,jakość
"Warte każdej złotówki.",pozytywna,cena
"Pudełko wilgotne, bałem się o zawartość.",negatywna,opakowanie
"Genialne w swojej prostocie.",pozytywna,jakość
"Długi czas oczekiwania na realizację.",negatywna,dostawa
"Materiał słabej jakości, mechaci się.",negatywna,jakość
"Lepsze niż się spodziewałem!",pozytywna,jakość
"Cena niska, ale jakość też niska.",neutralna,cena
"Zajebiste słuchawki, bas urywa łeb.",pozytywna,jakość
"Czekałem na to gówno dwa tygodnie, kpina.",negatywna,dostawa
"Tanie i dobre, rzadkość w tych czasach.",pozytywna,cena
"Kurier rzucił paczką o beton, debil.",negatywna,dostawa
"Pudełko wygląda jakby wróciło z wojny.",negatywna,opakowanie
"Jakość obrazu żyleta, polecam w opór.",pozytywna,jakość
"Strasznie drogo, żałuję zakupu.",negatywna,cena
"Rozpadło się w rękach przy pierwszym użyciu.",negatywna,jakość
"Wszystko git, szybka wysyłka.",pozytywna,dostawa
"Opakowanie pancerne, nic by tego nie ruszyło.",pozytywna,opakowanie
"Średnie to, spodziewałem się szału.",neutralna,jakość
"Za te pieniądze to kradzież (pozytywnie).",pozytywna,cena
"Nie działa włącznik, co za szmelc.",negatywna,jakość
"Dostawa w sobotę, uratowali mi dupę.",pozytywna,dostawa
"Plastik fantastik, trzeszczy niemiłosiernie.",negatywna,jakość
"Kartony pogniecione, ale towar cały.",neutralna,opakowanie
"Najlepszy zakup w tym roku, serio.",pozytywna,jakość
"Cena z kosmosu, pogięło ich równo.",negatywna,cena
"Kurier nie zadzwonił, zostawił awizo.",negatywna,dostawa
"Wygląda tanio, ale robi robotę.",neutralna,jakość
"Zapakowane w samą folię, żenada.",negatywna,opakowanie
"Świetny kontakt ze sprzedającym.",pozytywna,dostawa
"Głośnik charczy przy max głośności.",negatywna,jakość
"Warto było wydać każdą złotówkę.",pozytywna,cena
"Brak polskiej instrukcji, minus.",negatywna,jakość
"Szybko, sprawnie, bez pierdolenia.",pozytywna,dostawa
"Pudełko otwarte, ktoś w nim grzebał!",negatywna,opakowanie
"Kolor inny niż na aukcji, oszustwo.",negatywna,jakość
"Solidne, metalowe wykonanie.",pozytywna,jakość
"Cena adekwatna do możliwości.",neutralna,cena
"Paczka zaginęła, brak kontaktu.",negatywna,dostawa
"Super zapakowane, idealne na prezent.",pozytywna,opakowanie
"Badziewie, nie kupujcie tego syfu.",negatywna,jakość
"Promocja to ściema, drożej niż normalnie.",negatywna,cena
"Działa jak marzenie.",pozytywna,jakość
"Wysyłka natychmiastowa, szacun.",pozytywna,dostawa
"Jakość dźwięku przeciętna.",neutralna,jakość
"Opakowanie rozerwane, towar brudny.",negatywna,opakowanie
"Taniej niż w chinach.",pozytywna,cena
"Zepsuło się po gwarancji, klasyk.",negatywna,jakość
"Dostawca pomylił adresy...",negatywna,dostawa
"Jest w pytę, polecam allegrowicza.",pozytywna,jakość
"Folia bąbelkowa była, jest ok.",pozytywna,opakowanie
"Nie pasuje, mimo zapewnień.",negatywna,jakość
"Cena uczciwa jak na ten standard.",pozytywna,cena
"Czekałem wieki na dostawę.",negatywna,dostawa
"Wykonanie precyzyjne, zero luzów.",pozytywna,jakość
"Ostre krawędzie, można się pociąć.",negatywna,jakość
"Paczka dotarła mokra.",negatywna,opakowanie
"Okazja życia, brać w ciemno.",pozytywna,cena
"Nic specjalnego, zwykły produkt.",neutralna,jakość
"Kurier bardzo uprzejmy.",pozytywna,dostawa
"Jebie chińszczyzną na kilometr.",negatywna,jakość
"Zapakowane estetycznie.",pozytywna,opakowanie
"Za drogo, konkurencja ma taniej.",negatywna,cena
"Szkoda kasy na to gówno.",negatywna,jakość
"Paczkomat był zepsuty, problemy.",neutralna,dostawa
"Rewelacja, działa bez zarzutu.",pozytywna,jakość
"Opakowanie ekologiczne, plusik.",pozytywna,opakowanie
"Może być, ale szału nie ma.",neutralna,jakość
"Napierdala jak złoto, najlepszy model jaki miałem.",pozytywna,jakość
"Paczka spóźniona, a kurier jeszcze pyskował.",negatywna,dostawa
"Taniej niż w Biedronce, brać póki jest!",pozytywna,cena
"Rozjebało się przy montażu, materiał to gówno.",negatywna,jakość
"Pudełko przyszło całe w taśmie, ciężko otworzyć.",neutralna,opakowanie
"Wszystko zgodnie z opisem, polecam serdecznie.",pozytywna,jakość
"Cena z kosmosu, za co ja niby płacę?",negatywna,cena
"Dostawa ekspresowa, towar był u mnie rano.",pozytywna,dostawa
"Zapakowane w samą folię, cud że przetrwało.",negatywna,opakowanie
"Jakość adekwatna do ceny, bez rewelacji.",neutralna,jakość
"Zajebista sprawa, działa lepiej niż myślałem.",pozytywna,jakość
"Zepsuło się po dwóch dniach, nie kupujcie tego.",negatywna,jakość
"Najlepszy stosunek jakości do ceny na rynku.",pozytywna,cena
"Paczka dotarła w opłakanym stanie, wszystko pogięte.",negatywna,opakowanie
"Standardowy produkt, robi co do niego należy.",neutralna,jakość
"Kurier zostawił paczkę pod drzwiami na deszczu.",negatywna,dostawa
"Warto było czekać, jakość wykonania premium.",pozytywna,jakość
"Przepłaciłem o połowę, czuję się oszukany.",negatywna,cena
"Paczka zabezpieczona profesjonalnie, duży plus.",pozytywna,opakowanie
"Działa, ale menu jest kurewsko trudne.",neutralna,jakość
"Rewelacja, kupię drugą sztukę dla brata.",pozytywna,jakość
"Gówno prawda w opisie, produkt nie pasuje.",negatywna,jakość
"Cena ok, przesyłka mogłaby być tańsza.",neutralna,cena
"Dostarczone w 24 godziny, szacun.",pozytywna,dostawa
"Opakowanie rozerwane, brakowało jednego elementu.",negatywna,opakowanie
"Solidny plastik, nie trzeszczy pod palcami.",pozytywna,jakość
"Straszny szajs, chińska tandeta.",negatywna,jakość
"Taniej nie było, więc wziąłem tutaj.",neutralna,cena
"Kurier zadzwonił przed przyjazdem, miła obsługa.",pozytywna,dostawa
"Pudełko porysowane, jakby leżało w magazynie lata.",negatywna,opakowanie
"W pytę sprzęt, polecam każdemu.",pozytywna,jakość
"Bateria trzyma pół godziny, żart.",negatywna,jakość
"Można kupić, ale nie oczekujcie cudów.",neutralna,jakość
"Ekspresowa akcja, rano przelew, rano towar.",pozytywna,dostawa
"Wszystko wylane w środku, brak szczelności.",negatywna,opakowanie
"Design urywa dupę, wygląda luksusowo.",pozytywna,jakość
"Cena nieadekwatna do tego chłamu.",negatywna,cena
"Zwykłe pudełko, dobrze zabezpieczone folią.",pozytywna,opakowanie
"Trochę głośno chodzi, ale ujdzie.",neutralna,jakość
"Polecam, wszystko przebiegło pomyślnie.",pozytywna,dostawa
"Porażka, produkt przyszedł brudny i używany.",negatywna,jakość
"Promocja była tak dobra, że aż podejrzana.",pozytywna,cena
"Dostawa trwała tydzień, za długo.",negatywna,dostawa
"Pancerna paczka, nic się nie stłukło.",pozytywna,opakowanie
"Jakość średnia, typowy średniak.",neutralna,jakość
"Wygląda jak milion dolarów, polecam.",pozytywna,jakość
"Pieniądze wywalone w błoto, nie kupować!",negatywna,cena
"Paczka otwarta, ale zawartość była kompletna.",neutralna,opakowanie
"Szybko, sprawnie i na temat.",pozytywna,dostawa
"Farba schodzi po pierwszym myciu, masakra.",negatywna,jakość
"Tani zamiennik, ale daje radę.",pozytywna,cena
"Dostawca to jakiś gbur i prostak.",negatywna,dostawa
"Idealnie zapakowane na prezent, od razu gotowe.",pozytywna,opakowanie
"Działa poprawnie, bez szału.",neutralna,jakość
"Zajebiste wykonanie, widać każdą złotówkę.",pozytywna,jakość
"Kabel się ułamał po godzinie, dno.",negatywna,jakość
"Cena rynkowa, ani tanio, ani drogo.",neutralna,cena
"Towar zgodny z zamówieniem, polecam.",pozytywna,dostawa
"Brak folii ochronnej, ekran porysowany.",negatywna,opakowanie
"Jakość materiału powala, bardzo miękkie.",pozytywna,jakość
"Zepsuło się zaraz po odpaleniu, bubel.",negatywna,jakość
"Najlepsza cena w sieci, szukałem wszędzie.",pozytywna,cena
"Poczta Polska to dramat, paczka szła wieki.",negatywna,dostawa
"Zapakowane ekologicznie, papier a nie plastik.",pozytywna,opakowanie
"Produkt przeciętny, jak za te pieniądze.",neutralna,jakość
"To jest to! Czekałem na taki produkt.",pozytywna,jakość
"Śmierdzi gumą na cały pokój, nie do wytrzymania.",negatywna,jakość
"Dostawa spoko, kurier bardzo miły.",pozytywna,dostawa
"Pudełko wgniecione w rogu, ale towar cały.",neutralna,opakowanie
"W chuj dobre, polecam każdemu bez wyjątku.",pozytywna,jakość
"Cena za wysoka jak na taki plastik.",negatywna,cena
"Wszystko elegancko, szybka wysyłka.",pozytywna,dostawa
"Opakowanie rozerwane, wstyd to komuś dać.",negatywna,opakowanie
"Standard, bez fajerwerków ale działa.",neutralna,jakość
"Najlepszy sprzęt w moim domu, kocham go.",pozytywna,jakość
"Nie kupujcie tego gówna, strata czasu.",negatywna,jakość
"Stosunek cena/jakość - 10/10.",pozytywna,cena
"Kurier spóźniony o 4 godziny, zero info.",negatywna,dostawa
"Zabezpieczone tak, że pół godziny otwierałem.",pozytywna,opakowanie
"Działa tak jak powinno, polecam.",pozytywna,jakość
"Naprawdę zajebisty produkt, warto było czekać te dwa dni.",pozytywna,jakość
"Paczka przyszła tak uwalona błotem, że strach było dotknąć.",negatywna,opakowanie
"Cena uczciwa, ale szału nie ma jeśli chodzi o funkcje.",neutralna,cena
"Kurwa, nie dość że drogo, to jeszcze przestało działać po godzinie.",negatywna,jakość
"Szybko, sprawnie i bez problemów z kurierem.",pozytywna,dostawa
"Jakość dźwięku jest po prostu bajeczna, polecam.",pozytywna,jakość
"Pudełko było otwarte, brakowało instrukcji i kabla.",negatywna,opakowanie
"Średnia półka, za tę cenę nic lepszego nie znajdziecie.",neutralna,cena
"Dostawa trwała tak długo, że zdążyłem zapomnieć co kupiłem.",negatywna,dostawa
